,name,reviews,score,year,month,day,label,sentiment,percent
22,Jie-Goo Lee (JGL),무과금으로 개고생해서 얻은 초레어 아이템 다른 이상한거랑 버그로 합성되후로 게임 접었음 게임 자체 버그 또는 문제점으로 아이템이 날라가도 개발업체에서 어떠한 보상도 없음 하다보면 다른 댓글처럼 일부러 몬스터 안죽게 만들어서 죽으면 광고 긴거 나오게 해서 과금 유도하게함 개발업체는 답변와도 버그탓도 유져보고 조심하라고함 무과금으로 계속하기에는 힘들게 시스템적으로 만듬 초창기에는 그런거 없다가 갈수록 과금유도가 노골적임,1,2023,2,27,0,부정,[0.92387754]
23,물티슈,현질하라고 너무 적나라 하게 난이도를 확확 높힘 특정 스킬은 웬만해선 특수스킬로 레벨업 안시키고 업그레이드를 하라는데 초반에야 보석쌓이지 좀 지나니까 모자르고 업그레이드 할 돈도 모이지도 않음 업그레이드도 한두개도 아니고 장비 개 스텟 케릭터 돈도 인게임에서 처음 상자에서야 만원전후로 주지 상자까서 나오는건 원짜리 ㅋ 킬링타임으론 너무 좋은데 엘리트 장비뽑기도 사실상 현금 만원에 하나 수준임 일미션은 개남기고 시간도 남았는데 잠궈버리고 몇일 즐기다 다른게임 넘어갈때까지 하기 딱 거기까지인 게임임 스테이지부터는 무과금은 하지말라고 난이도 극상으로 만들었넹 ㅋ,1,2023,3,9,0,부정,[0.9463261]
24,한손,이벤트 여러번 날려서 열받음 수집해서 뭘 살 수 있는 이벤트를 낼거면 당연히 수집 가능한 기간 이벤트 종료 후 물건 교환 가능 기간을 따로 해놔야 하는 게 기본 아닌가 매번 좀만 더 모아야지 하다가 시 지나서 걍 날려먹는데 진짜 욕나옴 그나마 돈을 안 질러서 다행이지 돈 질러가며 쌓아뒀는데 깜빡해서 날려먹으면 그게 무슨 경우일지ㅋㅋㅋ,1,2023,5,9,0,부정,[0.88677603]
25,D:의의지,이미 대부분 유저들이 모든 스테이지를 깻음에도 불구하고 스테이지가 잘 나오지않음 신규 캐릭터가 매우좋게 나왔음에도 불구하고 이미 메인스테이지를 다 깨버린 유저들이 많기에 구매가 망설여지는 상황까지 옴 스테이지 출시 캐릭터 능력치 전수기능이 가장 시급해보임,1,2023,4,17,0,부정,[0.78862244]
26,1101아니요,다른 무기들 다 성이고 하나만 찍으면 마스터인데 왜 항상 다 성 찍고나면 이상한 버프만 주고 무기 마스터는 못되게 하는거임 버그임 아니면 확률이라도 알려주라고 아 ㅋㅋ이래서 현질유도 겁나하고 무과금러들은 어려워서 못깨는거지ㅋㅋ 예다른 무기들 성찍고 똑같은 무기 하나만 더 나오면 마스터인데인데 그게 왜 안나오고 다른 버프들만 주구장창 나오냐 이말임,1,2023,4,10,0,부정,[0.8872631]
27,??,일단 광고가 점 감점 시켰구요 광고가 이게임을 안하는 사람은 이해를 못하게 만들었어요게임 확률이 점 감점 시켰습니다게임이 설치하면 좋은데 광고는 제발 좀 고퀄로 만들어주는걸 추천합니다,1,2023,4,29,0,부정,[0.974957]
28,나다운,스킬선택이 끝난후 몬스터들이 잠깐의 딜레이가 있어야 한다고 생각합니다 몬스터들이 몰려오는 와중에 자석으로 레벨을 개정도 올리게되면 스킬을 선택하고 아무리 빨리 움직여도 끝날때마다 데미지를 받게되고 안맞아도 될걸 맞아서 아니러니하게 레벨업 때문에 죽는 경우가 발생합니다 레벨업시 초 무적이나 몬스터들이 조금 멈추는 시간이 있어야할것 같습니다,1,2023,3,12,0,긍정,[0.66898435]
29,방정현,삭제 후 다시 씁니다 장점ㅡ 시간 때우기 좋다 단점ㅡ 초록 다이아를 많이 주던가 아니면 게임에서 쓰이는 돈으로 뭔 가를 구입하게 해 주던가 아니면 개 초록 다이아 상당의 랭크가 나오는 상자를열면 좋은것 많이 나오게 해주던가 좋은것도 잘 안나오고 또 얼마 주지도 않는 다이아를 또 모으고 모아서 열면 이상한 것만 주고 그렇게 계속 반복 현질없이 단계 까지 온 것도 나도 참 다른 리뷰 보면 개발자 분에게 다 얘기 한다고는 하시는데 과연요,1,2023,3,17,0,긍정,[0.8355214]
30,이진삼,조합 하려고하면 다른것만 나오고 합성하면 없는거 골라서 합성만돼고 쿠나이 들고가면 안나오고 총들고가면 조합 못하게 안나오고 일퀘하면 눞기싶상이고 아예 대놓고 안주시는거잖습니까 과금해서 뽑기하란거 밖에나 나름대로 컨트롤이 좀 됀다고 생각하는데 몹이 쏘는 스킬하고 케릭터가 쓰는 스킬하고 색깔이 같아서 뭐가뭔지도 모르겠고 좀 적당히 즐길수있게 해주셔야지 이건 뭐 노골적으로 조합 못하게 아이템 띠우고 참 대단,1,2023,3,12,0,부정,[0.829423]
31,최호준,에너지는 그냥 빠른순찰용으로 쓰고나면 몇일 동안 할수있는게 없다는게 아쉽네요 추가로 약간의 과금으로 뽑기하다가도 회 확정 카운트가 그대로 가는게 아닌 급 무구 나오는 순간 카운트 리셋되는건 과금할 기분이 싹 사라지게 만드는 시스템인것같습니다 다른 가챠겜들도 이런시스템은 별로없는데아쉽네요  그딴식으로 성의없게 리뷰 답글 달지마세요 ㅋㅋ 누가 그걸 안해서 아쉽다고하나 사람 놀리는것도 아니고 그리고 메크로던데 그딴 내용으로 메크로 돌릴거면 차라리 달지마세요 ㅋㅋ 괜히 더 기분나빠집니다 어이가없어서 ㅋㅋ 별점 에서 드립니다 아니 진짜 일일도전 개똥같이 버그나게 만들꺼면 하지를마요 ㅋㅋ 레밸업마다 회 선택 개어이가없어서 ㅋㅋ 똑같이 레벨업에 보스 잡고 나오는 보물상자 뒤지고 나서야 한번에 까집니다 ㅋㅋ 보상해라 진짜 ㅋㅋ 가뜩이나 에너지도 부족한데ㅋㅋㅋ 만에 하나라도 볼 가능성이 있으니 다시 올립니다 또 메크로 돌리시겠지만,1,2023,3,28,0,긍정,[0.6188705]
32,Pro Kim,컨이나 판단력 전혀 필요없고 그냥 노가다 템빨게임임 템 약하면 아무리 용써도 한계가 있음 스킬 및 패턴도 몇개 없어서 금방 질림 일이면 질려서 내가 이걸 왜하는지 의문이 듬 광고는 또 어찌 많은지 겜을 하려고 광고를 보는건지 광고 보려고 겜을 하는건지 헷갈림 광고 및 현질 유도 잘해서 수익은 잘 뽑을 것 같는데 유저의 니드는 생각 안하고 어떻게 하면 돈벌지 그 궁리만 한거 같음 똑같은 패턴의 겜이라 금방 질린다는 치명적인 단점을 해결 못하면 이 겜의 발전은 없음,1,2023,3,12,0,부정,[0.8491342]
33,이지은,에서 서버 에러가 나서 한참 잘하다가 렉걸리고 꺼질때가 거의 대부분에너지 잔량이 하얗게 떠서 안보이기도 대부분 모드 서버 안정화가 시급함 게임을 하다 매번 꺼져서 짜증남,1,2023,3,31,0,부정,[0.9538883]
34,안은철,과금을 권하는 게임 같은데 차라리 보스전을 필수 말고 선택으로 바꿔주세요 예를 들어 보스전을 클리어 하면 원하는 아이템을 선택해서 가져갈 수 있게 만들거나 보스전을 안 하겠다 선택하면 그냥 게임을 이어가는 방식으로요 그리고 보스전에서 죽으면 광고 보고 부활할 수 있는 기회가 번 밖에 없는데 이어서 할 수 있게 광고 보는 만큼 부활 기회를 더 주세요,1,2023,3,14,0,긍정,[0.5497136]
35,yongjae kim,무기파밍이 적정선에서 진화하도록 나와줘야지 게임 끝나도록 진화안되면 어쩌자는거 특수아이템은 그렇다 치더라도 들고있는 무기업그레이드는 좀 잘 되도록 확률조정 합시다,1,2023,5,11,0,부정,[0.9361986]
36,춥파춥스6개월할부,버그 수정좀 하세요 게임도중 앱종료하고 다시 접속하면 계속하시겠습니까 뜨고 게임들어가면 검은화면 뜨고 게임 안되는거 일부러 어플지우고 다시 깔아도 같은현상 발생하는거 수정하,1,2023,3,13,0,부정,[0.7085235]
37,남경이,발전이없어도 이래 발전없는 게임이 있을까 업데이트는 왜하는지 버그는 그대로이고 아이템을 빨강색까지 어찌어찌올려도 못깨는건 못깨게 만들어놓고 펫 지 혼자 설치다 죽고 사실 펫은 있든말든 하는 존재 ㅋㅋㅋㅋ,1,2023,5,9,0,부정,[0.9562948]
38,강지호 (지호),와 영원세트 빨간색만들려고하니깐 파괴자세트나와서 배는넘게 더오래걸리게만드는심보 너무고약하네요 현질유도 너무 노골적으로 심하네요 이딴식으로 새로운 세트를만들꺼면 아예 따로 상자세트를 만들던가 급변경권을 여러개 뿌리던가 그냥 알아서 보석 배 더모아서 상자까라는건가요 너무 지치네요 게임도 분 원툴이라지겨운데 템맞추는재미도 흥미도 떨어지고 참담합니다,1,2023,1,26,0,부정,[0.9414964]
39,이동진,뒤로 갈수록 처음 웨이브전에 메인무기 운빨로 진화 시켜야 깰수있게 진행됨 근데 그걸 고의로 막아놓은듯 오기로판을 연달아해도 절대안됨레벨 단위로 무지막지한 현질필요한데 그럴가치가 있는게임은 아닌듯 몇달째 버그안잡는건지 못잡는건지 이게 속을 뒤집음,1,2022,12,25,0,부정,[0.8761749]
40,LPG,일일도전 난이도가 너무 어렵습니다 잡몹 잡는 것은 어렵지 않지만 보스들이 한 방 맞으면 바로 죽는 정도로 너무 세서 잡을 수 없는 수준입니다 뽑기를 해서 장비도 엄청 많이 얻을 수 있는 것도 아니라서 저 같은 초보들이 알일도전을 깨서 과학부품을 얻어야 강해지는데 강해지는 수단을 이렇게 막아버리면 계정을 어떻게 키워야 할지 모르겠습니다 아무튼 일일도전 난이도 특히 보스들 중심으로 대미지 감소를 부탁드립니다,1,2023,1,8,0,부정,[0.66015375]
41,Julie Han,광고에 너무 떠서 해봤는데 겁나 재미없고 스테이지도 어려움 그리고 광고랑 다르게 아이템 조합이 너무 힘들고 오래걸림,1,2023,5,6,0,부정,[0.97423226]
42,박선자,뽑기를 할때 중복이 너무 많이 나와요 사기인가요 아니면 버그인가요 좋은 아이템에 확율을 조금 더 올려주셨으면 좋겠습니다 하지만 게임에 들어가면 자꾸 나가서 화가 좀 났으니 좀 고처주셧으면 감사합니다,1,2023,5,12,0,부정,[0.67826825]
43,이아이스 시티헌터,솔직히 핵과금 유저만 생각하고 만든 게임이죠 너무 어려워서 접기 직전입니다 밸런스 조정이 필요합니다 이거 해결 못하면 접을 것 갔습니다,1,2023,4,27,0,부정,[0.9780239]
44,류승두,영원의장갑 보급상자에는 번안에 반드시 영원의장갑을 준다고 적혀있으나 번 넘게 열어봐도 장갑이 나타나지 않았어요 현금으로 구입하는 보석을 이용해 투자하는건데 약속한 내용과 다른결과가 나온 건 사기입니다 오늘 발생한 일이니 이력 확인해서 보상을 요청 합니다,1,2023,3,25,0,부정,[0.7483831]
45,오찌라찌,아니 광고 보다가 못참겠어서 왔는데요 광고를 번보면 번중에번이 탕탕특공대에요 광고좀 그만 돌리시면 안될까요 오히려 깔고 싶은게 아니라 끈질기게 계속 광고하니 오히려 더 짜증나네요 그래서 깔아서 해보았는데 지루하기만 하구요,1,2023,3,15,0,부정,[0.93170875]
46,이승민,상자를 먹으면 행운열차랍시고 뜨는데 그때부터 무슨 터치를 하든 아무 조작도 안 먹히고 캐릭터가 죽는 걸 구경만 해야하는 처지에요 어디에도 이런 문제 해결 하는 메뉴얼도 없고요 이것때문에 제대로 게임 입문도 못 하고 접습니다,1,2023,4,29,0,부정,[0.9733987]
47,키키킼,광고를 보면 보상이 들어와야하는데 보상이 안들어옴 버그좀 수정하세요 이상한이벤트그만만들고요,1,2023,5,6,0,부정,[0.77662766]
48,한승현,다른 게임에서 탕탕특공대 광고가 너무 많이 나와서 이게 재미있나 재미없어 보이는게 계속 광고가 나와 라고 생각하고 있다가 달 후 한번 깔아봤는데 재밌네,1,2023,4,16,0,긍정,[0.878047]
49,CH Lee,게임은 재밌는데 단점은 현질유도 가성비 않좋음 무과금 부터 스테이지 께기 어려움 급장비 얻기 너무힘듬 까지 입니다,1,2023,4,29,0,부정,[0.52999234]
50,유승환,레전드 무기 하나 얻는게 왤케 힘듭니까 아니 무기하나 만드는데 쓰는 에픽무기가 너무 많아요 엘리트는 말도 안되고요 솔직히 레전드 무기 만드는거 쉽게좀 해야 한다고 생각합니다,1,2023,5,2,0,부정,[0.8337205]
51,게임하는혜강아지,아니 처음시작하는 뉴비한테 라운드 단계의 적성이 맞나요 업글도 다했고 판도 넘게했는데 분에서분 사이를 어떻게 깨라고 만든줄 모르겠네요 처음하시는 분들한텐 난이도를 좀 낮춰야지 게임을 어떻게 하던지 할건데 처음은 단계가 아니라 단계 급이에요 제가 템 잘못 고른것도 아니고요 모든템 풀업 시켜도 분에러 분 사이를 못넘긴다니까요 현질유도인가요 무조건 돈을 써야지 깰수 있는건가요 예를들면공부할때에도 덧셈부터 뺄셈 곱셈 나눗셈 분수 통분 이렇게 천천히 배워가면서 플레이해야지 누가 분수부터 시작해서 공부를 배웁니까 이게임 비추합니다,1,2023,1,11,0,부정,[0.93930304]
52,ᅡᄀᄀᄂᄀ,현질 유도가 너무 심함 금방 질릴구조의 게임으로 느껴지는데 얼마 안하고 다 접을듯 돈도 좋지만 적당히 하시길특히 광고시청은 극혐하는 현질유도 방식 첫달은 현질로 광고시청을 스킵했는데 금방질려서 패스끝나는 순간 접게됨,1,2023,1,1,0,부정,[0.9736221]
53,김성진,광고시청을 통한 보상을 못받도록 만드셧던데 광고의 유형에 따라 보상을 받을수도 못받을 수있다는 것은 말도안된다고 생각합니다 광고가 분짜리 초짜리여도 시간을 투자하며 보상을 바라고 시청함에도 참여형 광고가 나올경우 클릭시 강제로 인터넷으로 넘어가 다시 게임으로 들어오면 재부팅 되어서 보상이 안되게 되더군요 번을 반복해도 같은 결과만 보이는데 이에 대해 수정해주시길 바랍니다 보상을 미끼로 광고를 하시려면 보상체계라도 제대로 해주시라고요,1,2022,12,21,0,부정,[0.9733401]
54,용마이,쿠폰등록을해도 주는것이하나두 읍네요 참 특이한게임인듯 ㅡㅡ 개등록햇는데 메일로오는게 하나도없는 어이없는게임 이런게임 처음보네요 등록도제대로햇고 도 떳는데 주지를않으니 맨땅에 헤딩하구잇는 무과금으론 힘듭니다 그래서 별한개 드렸습니다 이것도 아깝네요 ,1,2023,4,15,0,부정,[0.8484893]
55,PS_CUMA,하재밌게 틈틈히 시간 날때마다 했던 게임인데 원래쓰던 구글계정아이디가 연동끊켜서 다시하려니까 다른구글계정으로 자동 로그인되고 바꿀려고해도 계정변경하는게 전혀없고 내 원래아이디로 다시로그인할수없게끔 되어있네요 한번연동되니 겜삭제하고 다시깔아도 그계정은 들어가지지않네요 방법이없는건가요,1,2023,3,7,0,부정,[0.6557002]
56,주작,처음은 재미있었으나 챕터가 올라가면서 점점 과금없이 힘들고 지금 중인데 뭐그냥 녹내여 그리고 점점 과금도 많이유도하고 그전보다 금액이 올라가고 내용물은 떨어지는 점점 정이떨어지네요,1,2023,4,14,0,부정,[0.9036958]
57,조용희,아 대체 얼마의 현질을 해야 급 무기를 주는데 진짜 해도해도 너무하네 무슨 사람 약올리나 합성할 재료 꼭 하나씩 부족하게 해놓고 현질해서 지르면 하나도 안나오고 무과금으로 하다 속터져서 현질했더만 이건 뭐 사람 더 속터지게 하고 있네 지금까지 쓴돈 아까워서 하고 있는데 이젠 지쳐서 안하게 되네요 진짜 내가 재수가 진짜 없는건지 모르지만 속이 썩어가면서 게임하고 싶지않네요 별점 하나 드리고 전 사라질께요,1,2023,4,10,0,부정,[0.97867715]
58,믿음,하 기껏이 깬 판에 가까웠는데 보스잡고 행운열차 상자를 먹었는데 창이 닫히지도 않고 나가서 다시 도전해서 먹었는데또 창이 안닫혀서 접습니다창이 닫히지 않은 버그가 걸렸을뿐 어렵진 않았습니다,1,2023,4,11,0,부정,[0.93192905]
